å gå	to go
å arbeide	to work ("a..")
begge	both
fordi	because
fortalte (å fortelle)	told
gått (å gå)	gone (past part.)
hvor lenge	how long
å høre	to hear
hørte (å høre)	heard
å håpe	to hope
i fjor	last year
ikke sant?	right?
kom (å komme)	came
kommet (å komme)	come (past part.)
et kurs	a course
å lære	to learn
en lærer	a teacher
et lån	a loan
en nasjonalitet	a nationality
et navn	a name
et norskkurs	a Norwegian course
en pause	a break
et språk	a language
søt	sweet
tidlig	early
å trives	to thrive, enjoy oneself
en tysker	a German
å undervise	to teach
et viskelær	an eraser
visste (å vite)	knew
blå	blue
en butikk	a shop
dessuten	moreover, besides
fornøyd	satisfied, pleased
ganske	quite
en genser	a sweater
grønn	green
grå	grey
i dag	today
ei jakke	a jacket
kald	cold
en klesbutikk	a clothing store
klær	clothes (pl.)
ei kåpe	a coat
å like	to like
lysegrå	light grey
ny	new
å passe	to fit
praktisk	practical
å prøve	to try
et prøverom	a fitting room
et salg	a sale
et skjerf	a scarf
en størrelse	a size
svart	black
til sammen	together, in all
tykk	thick
varm	warm, hot
allerede	already
en bagett	a baguette
et bakeri	a bakery
å banke	to knock
å begynne	to begin
å bestemme	to decide
ei bok	a book
en bokhandel	a bookstore
ei dyne	a quilt
faktisk	actually
fire	four
for dyr	too expensive
for å	in order to ...
å ha lyst til å ...	want to, would like to
en handlekurv	a shopping basket
et humør	a mood
interessant	interesting
en interiørbutikk	interior design shop
ei kake	a cake
et kakestykke	a piece of cake
kjempebra	awesome, giant good
å kose seg	to have a good time, snuggle up
koselig	cosy, nice
å lese	to read
lita	small (f.)
lite	small (n.)
liten	small (m.)
et lys	a candle
en lysestake	a candlestick
lyst til (å ha lyst til å ...)	wanting to do something
mange	many
mer	more
myk	soft
ei notatbok	a notebook
om	about
ei ordbok	a dictionary
en penn	a pen
en prosent	a percentage
ei pute	a pillow, cushion
på salg	on sale
en roman	a novel
et semester	a semester
små	small (pl.)
å svare	to answer
å sykle	to bicycle
en tekopp	a teacup
annen	other
en bekreftelse	a confirmation
et brev	a letter
derfor	therefore
dit	there, yonder
et EØS-land	an EEA country
å fortelle	to tell
en fotoautomat	a photo machine
et gebyr	a fee, charge
en helseforsikring	a health insurance
å invitere	to invite
ja visst	surely, certainly
en jernbanestasjon	a railway station
en kø	a queue, line
å legge ved	to attach
en oppholdstillatelse	a residence permit
å registrere	to register
et registreringsbevis	a certificate of registration
en restaurant	a restaurant
en bytur	a trip to town
en CD	a CD
drakk (å drikke)	drank
etter	after
fant (å finne)	found
å finne fram	to find one's way
gikk (å gå)	walked, went
en mann	a man
en mobil	a cell phone
en muffins	a muffin
snakket (å snakke)	spoke
spiste (å spise)	ate
traff (å treffe)	met (casual, past tense)
vanskelig	difficult
var (å være)	was, were
veldig	very
en venn	a friend
å vise	to show
en brosjyre	a folder, brochure
dro (å dra)	left (to leave)
et fiskemarked	a fish market
foran	in front of
forrige	previous
ei gate	a street
greide	managed (to manage)
å greie	to manage
ei gågate	a pedestrian area
hadde (å ha)	had
en historie	a history, story
hjalp (å hjelpe)	helped
møtte (å møte)	met (formal)
sto (å stå)	stood
tok (å ta)	took
et torg	a square, a marketplace
travel	busy
ei uke	a week
et ansikt	a face
en bestefar	a grandfather
å bestille	to order
en farge	a colour
fattig	poor
forskjellig	different, various
få	few
glad	happy, glad
å glemme	to forget
hel	whole
hemmelig	secret
å holde	to hold, keep
hverandre	each other
i går	yesterday
i nærheten av	near, close to
kjempegod	very good
kjær	dear (adj.)
en lås	a lock
å låse	to lock
en mamma	a mom (casual form, baby talk)
et menneske	a person, human being
en nabo	a neighbour
et område	an area
ei oppskrift	a recipe
en pappa	a daddy
å passe på	to take care of, look after
rar	strange, odd (r...)
satt (å sitte)	sat
en servitør	a waiter
å sitte	to sit
ei sjokoladekake	a chocolate cake
snill	kind
spurte (å spørre)	asked
et stykke	a piece
en sykkel	a bicycle
en tid	a time
et trehus	a wooden house
tror (å tro)	believe
trygg	safe, secure
uten	without
åpen	open
et besøk	a visit
ble (å bli)	became
brant (å brenne)	burnt (to burn)
å brenne	to burn
bygde (å bygge)	built (to build)
å bygge	to build
cirka (ca.)	approximately, around (amount)
å dø	to die
døde (å dø)	died
en gang	a time (once)
en grav	a grave
en guide	a guide
igjen	again
en katedral	a cathedral
ei kirke	a church
Kong	King (as title)
en konge	a king
mellom	between
mett	full
rundt	round, about
å se ut	to look, appear
en skulptur	a sculpture
så (å se)	saw
trøtt	tired
en vikingkonge	a viking king
viktig	important
alle	all
en avgift	a fee
bare hyggelig!	you're welcome!
et bygg	a building
bøker (ei bok)	books
en campus	a campus
å dusje	to take a shower
en e-post	an e-mail
fem	five
før	before
et ID-kort	an ID card
en inngang	an entrance
et institutt	a department
en konsulent	an executive officer, consultant, adviser
et kontor	an office
lys	bright, light, blond
nettopp	just
en psykologi	a psycology
psykologisk	psycological
en semesteravgift	a university fee
et semesterkort	semester card
skrevet (å skrive)	written (past part.)
studiet (et studium)	the programme, study
et studium	a course of study
takk skal du ha	thanks to you
en telefon	a telephone
ved	at, by, near, on, to
vært (å være)	been (past part.)
en arkitektstudent	an architecture student
et bibliotek	a library
en foreleser	a lecturer
fått (å få)	got (past part.)
gjort (å gjøre)	done (past part.)
en gutt	a boy
å huske	to remember
i morgen	tomorrow
et kompendium	a compendium
lang	long (adj.)
en lunsj	a lunch
å låne	to borrow
møtt (å møte)	met (past part.)
naiv	naive
et nett	a web
noe	something, some (neuter)
sliten	weary, tired
en studieplan	a curriculum
sukker	sugar
en ting	a thing
truffet (å treffe)	met, hit (past part., casual)
et universitet	a university
et arrangement	an arrangement
å arrangere	to arrange, organise
et bilde	a picture
en dagsbillett	a single-day ticket
å danse	to dance
eller	or
en festival	a festival
en fotball	a football
et helårskort	a year round ticket
et hus	a house, building
et idrettssenter	a sports centre
en konsert	a concert
en lørdag	a Saturday
nær	near
en organisasjon	an organisation
på vei	on the way
rund	round
rød	red
å selge	to sell
sett (å se)	seen (past part.)
en side	a side
å skinne	to shine
ei sol	a sun
spesiell	special
å synes	find / perceive
et tangokurs	a tango dance course
å trene	to exercise, train
en volleyball	a volleyball
amerikansk	American
av og til	sometimes, occasionally
en ballett	a ballet
et ballspill	a ball game
et begynnerkurs	a beginner course
best	best
bordtennis	table tennis (uncount. noun)
cricket	cricket (uncount. noun)
di	your, yours (f. suffix form)
å diskutere	to discuss
å drive med noe	to do something
fritid	a spare time, leisure (uncount. noun)
en fritidsaktivitet	a leisure activity
gjør	do/does (present)
gøy	fun
heller	rather
et hjem	a home
et hjemland	a native country
en hobby	a hobby, pastime
hver	every, each
hvis	if
iblant	sometimes
en kino	a cinema
kjempemorsom	hilarious, very funny
en klasse	a class
å klatre	to climb
ei klatregruppe	a climbing group
lita	little, small (f.)
mitt	my, mine (n.)
mot	towards, against, also: courage
ofte	often
å rydde	to tidy, discard, clean up
siden	since
å snu	to turn
en sofa	a sofa, couch
en sport	a sport
en tango	a tango
ei tavle	a blackboard
tennis	tennis (uncount. noun)
et treningskort	gym membership card
en TV	a TV
en TV-serie	a TV series
vanligvis	usually
å vaske	to wash, clean
ei venninne	a (female) friend
jeg	I (subj.)
du	you (singular, subj.)
den	it (m./f.)
det	it (n.)
dere	you (plural)
du	you (singular subject)
den	it (m./f. subject)
det	it (n. subject)
deg	you (singular object, or refleksiv)
ham (han)	him (obj.)
henne	her (obj.)
den	it (m./f. object)
det	it (n. object)
oss	us (obj., reflek.)
Du går inn.	You go in.
Du går ut.	You go out.
Du går opp.	You go up.
Du går ned.	You go down.
Du går hjem.	You go home.
Du er inne.	You are in/inside.
Du er ute.	You are out/outside.
Du er oppe.	You are up/upstairs.
Du er nede.	You are down/downstairs.
Du er hjemme.	You are home.
Du kommer hit.	You come here.
Du går der.	You go there.
Du er her.	You are here.
Du er der.	You are there.
en brun stol	a brown chair
ei brun seng	a brown bed
et brunt bord	a brown table
brune stoler	brown chairs
Stolen er brun.	The chair is brown.
Senga er brun.	The bed is brown.
Bordet er brunt.	The table is brown.
Stolene er brune.	The chairs are brown.
en ny bil	a new car
ei ny veske	a new handbag
et nytt skjerf	a new scarf
nye biler	new cars
en billig bil	a cheap car
ei billig veske	a cheap handbag
et billig skjerf	a cheap scarf
billige biler	cheap cars
en tysk bil	a German car
ei tysk veske	a German handbag
et tysk skjerf	a German scarf
tyske biler	German cars
en praktisk bil	a practical car
ei praktisk veske	a practical handbag
et praktisk skjerf	a practical scarf
praktiske biler	practical cars
en moderne bil	a modern car
ei moderne veske	a modern handbag
et moderne skjerf	a modern scarf
moderne biler	modern cars
en grønn bil	a green car
ei grønn veske	a green handbag
et grønt skjerf	a green scarf
grønne biler	green cars
snakket	å snakke (speak)
kjøpte	å kjøpe (buy)
prøvde	tried (try)
bodde	å bo (live)
ble	å bli (become)
fortalte	å fortelle (tell)
gikk	å gå (walk)
hjalp	å hjelpe (help)
møtte	å møte (meet)
sa	å si (say)
satt	å sitte (sit)
spurte	å spørre (ask)
sto(d)	å stå (stand)
tok	å ta (take)
traff	å treffe (meet)
ville	å ville (want/wish)
var	å være (be)
faren min	my father
mora mi	my mother
huset mitt	my house
bøkene mine	my books
faren din	your (sing.) father
mora di	your (sing.) mother
huset ditt	your (sing.) house
bøkene dine	your (sing.) books
faren hans	his father
mora hans	his mother
huset hans	his house
bøkene hans	his books
faren hennes	her father
mora hennes	her mother
huset hennes	her house
bøkene hennes	her books
faren vår	our father
mora vår	our mother
huset vårt	our house
bøkene våre	our books
faren deres	your (pl.) father
mora deres	your (pl.) mother
huset deres	your (pl.) house
bøkene deres	your (pl.) books
sønnen deres	their son
dattera deres	their daughter
barnet deres	their child
barna deres	their children
faren sin	his (own) father
mora si	his (own) mother
huset sitt	his (own) house
bøkene sine	his (own) books
faren sin	her (own) father
mora si	her (own) mother
huset sitt	her (own) house
bøkene sine	her (own) books
faren sin	their (own) father
mora si	their (own) mother
huset sitt	their (own) house
bøkene sine	their (own) books
et dokument	a document
ei fil	a file
et auditorium	an auditorium
ei kantine	a cafeteria, canteen
et laboratorium	a laboratory
et fakultet	a faculty
et studium	a study/studies
en grad	a degree
en dekanus	a dean/head of faculty
en instituttleder	a head of department
en konsulent	a consultant
en kontorsjef	a head of administration
en rektor	a head master
en sekretær	a secretary
en disputas	a presentation of a thesis
et fag	a subject
et foredrag	a lecture/speech
et innlegg	an oral or written contribution
en artikkel	an article
en konferanse	a conference
et møte	a meeting (formal)
en workshop	a workshop
Jeg er forkjølet.	I've got a cold.
Jeg har influensa.	I've got the flu.
