blå	blue
rød	red
gul	yellow
grønn	green
svart	black
hvit	white
brun	brown
rosa	pink
lilla	violet, light purple
oransje	orange
grå	gray
fargerik	colorful
sint	angry
dårlig	bad
vakker	beautiful
ren	clean
vanskelig	difficult
skitten	dirty
enkel	easy
langt	far
morsom	funny
god	good
glad	happy
høy	high
lav	low
nære	near
trist	sad
liten	small
sterk	strong
stygg	ugly
svak	weak
kjedelig	boring
opptatt	busy
billig	cheap
kaldt	cold
deilig	delicious
vemmelig	disgusting
spennende	exciting
dyr	expensive
varm	hot
viktig	important
interessant	interesting
snill	kind
slem	mean
avslappende	relaxing
skummelt	scary
seriøs	serious
trøtt	tired
irriterende	annoying
rolig	calm
uformell	casual
cult	cool
mørk	dark
dyp	deep
misfornøyd	dissatisfied
flau	embarrassed
begeistret	enthusiastic
berømt	famous
hard	hard
håpefull	hopeful
lett	light (weight)
lys	light (color)
smal	narrow
nervøs	nervous
smertefullt	painful
fattig	poor
populære	popular
rik	rich
fornøyd	satisfied
grunt	shallow
sjenert	shy
myk	soft
vid	wide
tynn	thin
tykk	thick
tjukk	fat
lyst	bright
ødelagt	broken
stengt	closed
åpen	open
komfortabel	comfortable
komplett	complete
forvirret	confused
beleilig	convenient
rett	correct
tullete	crazy
farlig	dangerous
forskjellig	different
skuffet	disappointed
tørr	dry
tidlig	early
fremragende	excellent
extrem	extreme
rask	fast
favoritt	favorite
idiotisk	Idiotic
forbudt	forbidden
utenlandsk	foreign
gratis	free
fersk	fresh
vennlig	friendly
artig	fun
skyldig	guilty
sunt	healthy
lummert	humid
umulig	impossible
innsiden	inside
sjalu	jealous
siste	last
sent	late
lat	lazy
venstre	left
livlig	lively
ensom	lonely
lang	long
gift	married
naturlig	natural
rampete	naughty
nødvendig	necessary
ny	new
neste	next
bråkete	noisy
vanlig	normal
gammel	old
andre	other
utsiden	outside
mulig	possible
stolt	proud
offentlig	public
stille	quiet
klar	ready
ekte	real
nylig	recently
høyre	right
landlig	rural
trygg	safe
lik	same
separat	separate
kort	short
lignende	similar
enkel	simple
enslig	single (not married)
dyktig	skillful
treg	slow
krydret	spicy
rart	strange
dum	stupid
søt	sweet
beste	best
verste	worst
ledig	vacant
veldig	very
våt	wet
feil	wrong
ung	young
alene	alone
cirka	approximately
sykker	certain
sentral	central
mønstret	patterned
rutet	checkered
stripet	striped
blek	pale
fæl	awful
